인천,서구,21~40㎡,17,19,20,14,17,19,20,15,16,18,30,22,30,11,25,6,22,22,17,15,27,26,51,60,37,17,41,31,15,24,14,14,10,25,28,21,24,10
인천,서구,41~60㎡,124,163,221,232,243,263,250,258,296,377,343,201,210,129,189,194,236,267,304,505,363,391,418,412,344,280,263,230,188,237,222,210,255,369,283,350,265,186
인천,서구,61~85㎡,165,177,244,293,512,473,422,443,556,848,796,497,459,271,348,368,435,493,754,1662,807,616,1572,975,1225,1364,1083,1022,874,904,482,466,551,680,860,1859,2129,4588
인천,서구,86~100㎡,4,0,3,7,24,22,15,22,26,34,46,31,12,11,14,26,19,29,38,62,64,21,175,79,113,107,77,34,26,33,18,20,41,76,113,106,258,26
인천,서구,101~135㎡,45,35,45,118,195,141,141,133,145,147,167,91,63,57,101,103,107,148,140,117,139,100,102,106,94,87,122,74,66,75,88,78,103,203,127,96,98,214
인천,서구,136~165㎡,13,8,13,18,30,16,14,12,29,36,29,17,22,15,9,13,17,30,42,40,15,13,5,12,14,10,21,16,9,14,20,21,22,27,20,20,13,6
인천,서구,166~198㎡,2,1,3,1,1,2,1,1,0,5,1,1,1,2,2,3,1,1,3,3,0,1,5,5,2,1,0,3,1,3,3,5,0,2,3,4,0,2
인천,서구,198㎡초과,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,3,1,1,0,1,0,0,1,1
인천,강화군,합계,3,16,18,13,39,48,31,12,9,14,22,19,14,16,14,9,10,14,16,8,18,10,21,11,8,18,13,12,15,12,8,13,13,17,15,9,11,14
인천,강화군,20㎡이하,0,0,0,1,7,3,4,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
인천,강화군,21~40㎡,0,0,0,0,15,29,6,4,3,0,2,1,3,2,3,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,2,3,1,4,0,2,2
인천,강화군,41~60㎡,0,2,2,2,5,3,5,3,2,2,3,3,2,4,3,2,3,4,2,3,2,3,4,2,3,5,3,3,2,1,0,1,1,5,0,1,2,2
인천,강화군,61~85㎡,1,12,16,9,9,11,12,5,2,9,14,14,6,9,7,6,7,8,11,5,14,3,14,7,4,12,8,8,9,9,6,9,8,7,10,8,6,9
인천,강화군,86~100㎡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천,강화군,101~135㎡,2,2,0,1,3,2,4,0,2,3,3,1,2,0,0,1,0,1,2,0,1,4,2,1,0,1,1,0,4,2,1,1,1,4,1,0,1,1
인천,강화군,136~165㎡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천,강화군,166~198㎡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천,강화군,198㎡초과,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
