"","지.역","X","X.1","X2016년.12월","X.2","X2017년.01월","X.3","X2017년.02월","X.4","X2017년.03월","X.5","X2017년.04월","X.6","X2017년.05월","X.7","X2017년.06월","X.8","X2017년.07월","X.9","X2017년.08월","X.10","X2017년.09월","X.11","X2017년.10월","X.12","X2017년.11월","X.13","X2017년.12월","X.14","X2018년.01월","X.15","X2018년.02월","X.16","X2018년.03월","X.17","X2018년.04월","X.18","X2018년.05월","X.19","X2018년.06월","X.20","X2018년.07월","X.21","X2018년.08월","X.22","X2018년.09월","X.23","X2018년.10월","X.24","X2018년.11월","X.25","X2018년.12월","X.26"
"1","","","","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계"
"48","","","중산동","0.243","3.479","0.213","0.213","0.231","0.445","0.298","0.744","0.211","0.957","0.15","1.108","0.119","1.229","0.288","1.52","0.077","1.598","0.257","1.859","0.172","2.035","0.148","2.186","0.366","2.56","0.276","0.276","0.178","0.455","0.164","0.62","0.127","0.747","0.203","0.951","0.235","1.189","0.246","1.438","0.266","1.707","0.191","1.902","0.277","2.184","0.258","2.447","0.279","2.733"
"49","","","운남동","0.243","3.479","0.213","0.213","0.231","0.445","0.298","0.744","0.211","0.957","0.15","1.108","0.119","1.229","0.288","1.52","0.077","1.598","0.257","1.859","0.172","2.035","0.148","2.186","0.366","2.56","0.276","0.276","0.178","0.455","0.164","0.62","0.127","0.747","0.203","0.951","0.235","1.189","0.246","1.438","0.266","1.707","0.191","1.902","0.277","2.184","0.258","2.447","0.279","2.733"
"50","","","운서동","0.101","0.977","0.155","0.155","0.261","0.417","0.213","0.63","0.146","0.777","-0.02","0.757","0.149","0.907","0.172","1.081","0.265","1.349","0.161","1.511","0.171","1.685","0.205","1.894","0.225","2.124","0.278","0.278","0.172","0.45","0.289","0.741","0.115","0.856","0.239","1.097","0.192","1.29","0.182","1.474","0.115","1.591","0.23","1.824","0.243","2.072","0.205","2.281","0.209","2.495"
"51","","","운북동","0.243","3.479","0.213","0.213","0.231","0.445","0.298","0.744","0.211","0.957","0.15","1.108","0.119","1.229","0.288","1.52","0.077","1.598","0.257","1.859","0.172","2.035","0.148","2.186","0.366","2.56","0.276","0.276","0.178","0.455","0.164","0.62","0.127","0.747","0.203","0.951","0.235","1.189","0.246","1.438","0.266","1.707","0.191","1.902","0.277","2.184","0.258","2.447","0.279","2.733"
"52","","","을왕동","0.168","1.122","0.065","0.065","0.208","0.273","0.207","0.48","0.258","0.74","0.142","0.883","0.102","0.985","0.216","1.204","0.103","1.308","0.086","1.395","0.109","1.505","0.122","1.629","0.172","1.804","0.19","0.19","0.152","0.342","0.162","0.505","0.18","0.685","0.203","0.889","0.079","0.969","0.051","1.02","0.309","1.332","0.184","1.518","0.274","1.797","0.337","2.14","0.392","2.54"
"53","","","남북동","0.168","1.122","0.065","0.065","0.208","0.273","0.207","0.48","0.258","0.74","0.142","0.883","0.102","0.985","0.216","1.204","0.103","1.308","0.086","1.395","0.109","1.505","0.122","1.629","0.172","1.804","0.19","0.19","0.152","0.342","0.162","0.505","0.18","0.685","0.203","0.889","0.079","0.969","0.051","1.02","0.309","1.332","0.184","1.518","0.274","1.797","0.337","2.14","0.392","2.54"
"54","","","덕교동","0.168","1.122","0.065","0.065","0.208","0.273","0.207","0.48","0.258","0.74","0.142","0.883","0.102","0.985","0.216","1.204","0.103","1.308","0.086","1.395","0.109","1.505","0.122","1.629","0.172","1.804","0.19","0.19","0.152","0.342","0.162","0.505","0.18","0.685","0.203","0.889","0.079","0.969","0.051","1.02","0.309","1.332","0.184","1.518","0.274","1.797","0.337","2.14","0.392","2.54"
"55","","","무의동","0.168","1.122","0.065","0.065","0.208","0.273","0.207","0.48","0.258","0.74","0.142","0.883","0.102","0.985","0.216","1.204","0.103","1.308","0.086","1.395","0.109","1.505","0.122","1.629","0.172","1.804","0.19","0.19","0.152","0.342","0.162","0.505","0.18","0.685","0.203","0.889","0.079","0.969","0.051","1.02","0.309","1.332","0.184","1.518","0.274","1.797","0.337","2.14","0.392","2.54"
"56","","동구","","0.157","1.498","0.103","0.103","0.234","0.337","0.261","0.599","0.185","0.785","0.223","1.009","0.093","1.103","0.049","1.153","0.055","1.209","0.22","1.432","0.256","1.691","0.227","1.922","0.277","2.205","0.156","0.156","0.167","0.323","0.279","0.604","0.271","0.876","0.284","1.163","0.211","1.375","0.256","1.635","0.179","1.817","0.152","1.971","0.262","2.239","0.201","2.444","0.21","2.659"
"57","","","만석동","0.019","0.976","0.087","0.087","0.071","0.158","0.048","0.206","0.361","0.568","0.092","0.661","-0.182","0.478","-0.037","0.441","-0.056","0.385","0.309","0.695","0.327","1.024","0.359","1.387","0.05","1.438","0.144","0.144","0.143","0.287","0.29","0.578","0.425","1.005","0.153","1.16","0.388","1.552","0.18","1.735","0.141","1.879","0.238","2.121","0.099","2.223","0.088","2.312","0.218","2.535"
