읍면동,분양면적,총세대수,세대수,매매평균 ㎡당가(만원),노후도,역세권점수,전세평균 ㎡당가(만원),토지면적(km2),문화시설수,쇼핑시설수,스타벅스,,metro,culture,shop
계양동,135.53,"1,192",96,199,21.09,3,155,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
계양동,109.74C,158,74,305,7,3,241,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
계양동,110.30A,158,42,304,7,3,240,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
계양동,110.36B,158,42,304,7,3,240,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
계양동,110.64,466,317,276,11.02,3,235,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
계양동,142.86,466,149,252,11.02,3,206,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
계양동,78.99,478,478,348,12.05,3,269,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
작전서운동,130.93,255,180,309,11.03,0,225,3.79,4,23,0,,0,1.055408971,6.068601583
작전서운동,162.91,255,75,292,11.03,0,206,3.79,4,23,0,,0,1.055408971,6.068601583
작전서운동,112.62B,355,92,329,9.02,0,258,3.79,4,23,0,,0,1.055408971,6.068601583
작전서운동,112.79A,355,45,328,9.02,0,257,3.79,4,23,0,,0,1.055408971,6.068601583
작전서운동,112.79C,355,26,328,9.02,0,257,3.79,4,23,0,,0,1.055408971,6.068601583
작전서운동,144.84A,355,97,283,9.02,0,221,3.79,4,23,0,,0,1.055408971,6.068601583
작전서운동,144.86B,355,95,283,9.02,0,221,3.79,4,23,0,,0,1.055408971,6.068601583
계산동,69.42,"1,140",270,299,27.08,2,246,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,56.19,"1,140",270,289,27.08,2,246,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,52.89B,"1,140",1,288,27.08,2,246,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,52.89A,"1,140",60,288,27.08,2,245,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,52.89,"1,140",299,288,27.08,2,236,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,72.72,"1,140",180,285,27.08,2,234,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,59.5,"1,140",60,273,27.08,2,227,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,99.17,629,30,272,33.05,2,163,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,62.81,629,240,247,33.05,2,146,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,85.95,629,160,244,33.05,2,143,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,69.42,629,139,241,33.05,2,133,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,49.58,629,60,232,33.05,2,126,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,92.56,142,66,221,22.05,2,175,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,82.64,142,76,221,22.05,2,173,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,79.33,92,23,227,25,2,186,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,69.42,92,46,216,25,2,175,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,95.86,92,23,203,25,2,166,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,56.19,336,84,213,28.05,2,160,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,79.33,336,60,208,28.05,2,158,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,72.72,336,48,203,28.05,2,151,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,69.42,336,144,202,28.05,2,144,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,72.72,474,36,220,31.02,2,120,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,56.19,474,360,218,31.02,2,167,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,62.81,474,72,215,31.02,2,160,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,56.19,366,60,214,30.01,2,158,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,66.11,366,180,212,30.01,2,143,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,79.33,366,6,205,30.01,2,167,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,76.03,366,120,204,30.01,2,166,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,66.11,460,30,234,32.06,2,164,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,62.81,460,100,231,32.06,2,160,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,59.5,460,80,223,32.06,2,136,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,56.19,460,80,209,32.06,2,135,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,49.58,460,90,205,32.06,2,126,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,52.89,460,80,203,32.06,2,120,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,79.33,276,84,246,29,2,174,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,69.42,276,84,238,29,2,173,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,89.25,276,108,235,29,2,170,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,79.33A,144,2,243,29,2,176,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,79.33,144,40,243,29,2,176,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,89.25,144,60,241,29,2,174,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,69.42,144,42,223,29,2,166,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,79.33,498,252,202,27.04,2,164,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,76.03,498,204,197,27.04,2,158,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,69.42,80,80,205,34.06,2,156,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,115.84,481,40,302,13.07,2,151,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,79.63,481,234,298,13.07,2,151,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,105.49,481,207,280,13.07,2,251,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,72.72,360,60,206,28,2,229,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,69.42,360,180,206,28,2,218,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,66.11,360,60,200,28,2,160,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,59.5,360,60,193,28,2,154,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,66.11,170,128,208,26.07,2,151,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,59.5,170,36,206,26.07,2,122,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,76.03,170,6,194,26.07,2,170,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,128.92,216,216,264,21.05,2,161,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,112.39,436,260,303,20.04,2,160,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,125.62,436,88,283,20.04,2,217,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,142.14,436,88,257,20.04,2,245,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,79.33B,612,144,321,21.05,2,227,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,81.98A,612,22,311,21.05,2,201,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,95.86,612,446,303,21.05,2,265,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,125.62,544,544,271,21.04,2,261,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,89.25,574,460,300,21.06,2,256,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,105.78,574,114,293,21.06,2,227,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,105.78,299,72,232,26.08,2,272,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,82.64,299,22,227,26.08,2,251,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,99.17,299,61,224,26.08,2,194,4.55,5,91,1,,0.43956044,1.098901099,20
계산동,128.92,299,63,213,26.08,2,194,4.55,5,91,1,,0.43956044,1.098901099,20
