구시군,읍면동,아파트명,입주년도,분양면적,총세대수,세대수,매매평균..당가.만원.,X3.3.당가.만원.,노후도,역세권점수,전세평균..당가.만원.,토지면적.km2.,문화시설수,쇼핑시설수,스타벅스
계양구,계산동,삼천리,1986.06,59.5,460,80,223,736.2,32.06,2,136,4.55,5,91,1
계양구,계산동,삼천리,1986.06,56.19,460,80,209,691.3,32.06,2,135,4.55,5,91,1
계양구,계산동,삼천리,1986.06,49.58,460,90,205,676.8,32.06,2,126,4.55,5,91,1
계양구,계산동,삼천리,1986.06,52.89,460,80,203,671.9,32.06,2,120,4.55,5,91,1
계양구,계산동,삼환1차,1989.12,79.33,276,84,246,812.6,29,2,174,4.55,5,91,1
계양구,계산동,삼환1차,1989.12,69.42,276,84,238,785.7,29,2,173,4.55,5,91,1
계양구,계산동,삼환1차,1989.12,89.25,276,108,235,777.8,29,2,170,4.55,5,91,1
계양구,계산동,삼환2차,1989.12,79.33,144,2,243,802.2,29,2,176,4.55,5,91,1
계양구,계산동,삼환2차,1989.12,79.33,144,40,243,802.2,29,2,176,4.55,5,91,1
계양구,계산동,삼환2차,1989.12,89.25,144,60,241,796.4,29,2,174,4.55,5,91,1
계양구,계산동,삼환2차,1989.12,69.42,144,42,223,738.1,29,2,166,4.55,5,91,1
계양구,계산동,서해3차,1991.08,79.33,498,252,202,666.7,27.04,2,164,4.55,5,91,1
계양구,계산동,서해3차,1991.08,76.03,498,204,197,652.2,27.04,2,158,4.55,5,91,1
계양구,계산동,세경,1984.06,69.42,80,80,205,678.6,34.06,2,156,4.55,5,91,1
계양구,계산동,신도브래뉴,2005.05,115.84,481,40,302,998.8,13.07,2,151,4.55,5,91,1
계양구,계산동,신도브래뉴,2005.05,79.63,481,234,298,986,13.07,2,151,4.55,5,91,1
계양구,계산동,신도브래뉴,2005.05,105.49,481,207,280,924.5,13.07,2,251,4.55,5,91,1
계양구,계산동,영남,1990.12,72.72,360,60,206,681.9,28,2,229,4.55,5,91,1
계양구,계산동,영남,1990.12,69.42,360,180,206,681,28,2,218,4.55,5,91,1
계양구,계산동,영남,1990.12,66.11,360,60,200,662.6,28,2,160,4.55,5,91,1
계양구,계산동,영남,1990.12,59.5,360,60,193,638.9,28,2,154,4.55,5,91,1
계양구,계산동,원흥,1992.05,66.11,170,128,208,687.6,26.07,2,151,4.55,5,91,1
계양구,계산동,원흥,1992.05,59.5,170,36,206,680.6,26.07,2,122,4.55,5,91,1
계양구,계산동,원흥,1992.05,76.03,170,6,194,641.3,26.07,2,170,4.55,5,91,1
계양구,계산동,은행강북,1997.07,128.92,216,216,264,871.8,21.05,2,161,4.55,5,91,1
계양구,계산동,은행삼보,1998.08,112.39,436,260,303,1000.1,20.04,2,160,4.55,5,91,1
계양구,계산동,은행삼보,1998.08,125.62,436,88,283,934.2,20.04,2,217,4.55,5,91,1
계양구,계산동,은행삼보,1998.08,142.14,436,88,257,848.9,20.04,2,245,4.55,5,91,1
계양구,계산동,은행아주,1997.07,79.33,612,144,321,1062.6,21.05,2,227,4.55,5,91,1
계양구,계산동,은행아주,1997.07,81.98,612,22,311,1028.3,21.05,2,201,4.55,5,91,1
계양구,계산동,은행아주,1997.07,95.86,612,446,303,1000.1,21.05,2,265,4.55,5,91,1
계양구,계산동,은행태산,1997.08,125.62,544,544,271,894.7,21.04,2,261,4.55,5,91,1
계양구,계산동,은행태평,1997.06,89.25,574,460,300,990.8,21.06,2,256,4.55,5,91,1
계양구,계산동,은행태평,1997.06,105.78,574,114,293,968.8,21.06,2,227,4.55,5,91,1
계양구,계산동,인정프린스,1992.04,105.78,299,72,232,765.7,26.08,2,272,4.55,5,91,1
계양구,계산동,인정프린스,1992.04,82.64,299,22,227,750,26.08,2,251,4.55,5,91,1
계양구,계산동,인정프린스,1992.04,99.17,299,61,224,741.7,26.08,2,194,4.55,5,91,1
계양구,계산동,인정프린스,1992.04,128.92,299,63,213,705.2,26.08,2,194,4.55,5,91,1
계양구,계산동,인정프린스,1992.04,92.56,299,31,209,691.1,26.08,2,182,4.55,5,91,1
계양구,계산동,인정프린스,1992.04,95.86,299,22,203,672.5,26.08,2,178,4.55,5,91,1
계양구,계산동,인정프린스,1992.04,112.39,299,28,200,661.8,26.08,2,178,4.55,5,91,1
계양구,계산동,지산그라띠아,2003.07,109.63,137,69,251,829.2,15.05,2,172,4.55,5,91,1
계양구,계산동,지산그라띠아,2003.07,119.44,137,10,237,781.9,15.05,2,167,4.55,5,91,1
계양구,계산동,지산그라띠아,2003.07,82.18,137,48,231,764.3,15.05,2,182,4.55,5,91,1
계양구,계산동,지산그라띠아,2003.07,50.76,137,10,192,635,15.05,2,176,4.55,5,91,1
계양구,계산동,태산저층,1990.07,59.5,408,36,208,688.9,28.05,2,167,4.55,5,91,1
계양구,계산동,태산저층,1990.07,69.42,408,72,202,666.7,28.05,2,170,4.55,5,91,1
계양구,계산동,태산저층,1990.07,52.89,408,119,199,656.3,28.05,2,170,4.55,5,91,1
계양구,계산동,태산저층,1990.07,52.89,408,1,199,656.3,28.05,2,166,4.55,5,91,1
계양구,계산동,태산저층,1990.07,56.19,408,180,196,647.2,28.05,2,160,4.55,5,91,1
계양구,계산동,태평저층,1990.12,56.19,432,168,231,764.8,28,2,160,4.55,5,91,1
계양구,계산동,태평저층,1990.12,69.42,432,168,223,738.1,28,2,169,4.55,5,91,1
계양구,계산동,태평저층,1990.12,76.03,432,48,201,663.1,28,2,166,4.55,5,91,1
계양구,계산동,태평저층,1990.12,72.72,432,48,199,659.2,28,2,158,4.55,5,91,1
계양구,계산동,"팬더1,2차",1989.09,56.19,504,12,214,706,29.03,2,151,4.55,5,91,1
계양구,계산동,"팬더1,2차",1989.09,69.42,504,36,207,683.4,29.03,2,147,4.55,5,91,1
계양구,계산동,"팬더1,2차",1989.09,76.03,504,36,204,673.9,29.03,2,137,4.55,5,91,1
계양구,계산동,"팬더1,2차",1989.09,62.81,504,150,201,665.8,29.03,2,131,4.55,5,91,1
계양구,계산동,하나,1988.07,66.11,994,108,257,850.1,30.05,2,185,4.55,5,91,1
계양구,계산동,하나,1988.07,59.5,994,48,252,833.4,30.05,2,176,4.55,5,91,1
계양구,계산동,하나,1988.07,52.89,994,288,251,828.2,30.05,2,169,4.55,5,91,1
계양구,계산동,하나,1988.07,56.19,994,550,245,808.9,30.05,2,161,4.55,5,91,1
계양구,계산동,한국,1991.05,105.78,416,416,265,875,27.07,2,227,4.55,5,91,1
계양구,계산동,한미삼오,1996.12,82.64,151,79,218,720,22,2,177,4.55,5,91,1
계양구,계산동,한미삼오,1996.12,56.19,151,12,209,691.3,22,2,170,4.55,5,91,1
계양구,계산동,한미삼오,1996.12,95.86,151,15,206,681.1,22,2,163,4.55,5,91,1
계양구,계산동,한미삼오,1996.12,105.78,151,45,203,671.9,22,2,160,4.55,5,91,1
계양구,계산동,현대,1992.02,89.25,1248,306,275,907.5,26.1,2,217,4.55,5,91,1
계양구,계산동,현대,1992.02,105.78,1248,806,255,843.8,26.1,2,213,4.55,5,91,1
계양구,계산동,현대,1992.02,165.29,1248,136,213,705,26.1,2,145,4.55,5,91,1
계양구,작전동,가나안미도,1990.11,99.17,480,180,217,716.7,28.01,1,188,1.8,3,39,1
계양구,작전동,가나안미도,1990.11,102.47,480,150,215,709.7,28.01,1,187,1.8,3,39,1
계양구,작전동,가나안미도,1990.11,92.56,480,30,211,696.4,28.01,1,181,1.8,3,39,1
계양구,작전동,가나안미도,1990.11,82.64,480,90,200,660,28.01,1,178,1.8,3,39,1
