구시군,읍면동,아파트명,평균매매가 제곱미터당(만원),분양면적,단지세대수,개별세대수,노후도,역세권점수,전세평균제곱미터당(만원),토지면적.km2.,문화시설수,쇼핑시설수,스타벅스,평균 인구수,평균 세대수,교육시설 수,개발호재유무,혼인건수3년평균
계양구,효성동,서광,175,82.64,140,30,35.01,0,112,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,서광,164,76.03,140,110,35.01,0,85,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,성지,189,79.33,98,18,25.02,0,106,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,신진,163,82.64,285,130,34,0,102,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,신진,162,95.86,285,5,34,0,98,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,신진,159,66.11,285,80,34,0,96,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,신한,227,79.33,324,160,21.11,0,164,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,신한,211,109.09,324,164,21.11,0,156,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,유승그린,218,82.64,279,279,22.01,0,188,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,유승와이드빌,227,85.74,350,350,16.04,0,181,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,중앙,165,72.72,168,114,29.01,0,113,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,중앙,164,79.33,168,6,29.01,0,110,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,중앙,160,56.19,168,42,29.01,0,103,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,중앙,159,62.81,168,6,29.01,0,98,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,중앙하이츠,225,109.09,375,164,22.01,0,174,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,중앙하이츠,224,79.33,375,194,22.01,0,164,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,중앙하이츠,220,115.7,375,17,22.01,0,158,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,태산,243,79.33,1178,524,21.01,0,183,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,태산,218,109.09,1178,654,21.01,0,160,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,풍림,287,79.33,342,130,21.02,0,249,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,풍림,277,105.78,342,156,21.02,0,232,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,풍림,241,142.14,342,40,21.02,0,201,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,풍림,226,185.12,342,8,21.02,0,181,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,풍림,220,135.53,342,6,21.02,0,173,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,풍림,217,238.01,342,2,21.02,0,143,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,하나,236,79.33,498,250,22.02,0,183,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,하나,222,105.78,498,176,22.02,0,170,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,하나,202,128.92,498,72,22.02,0,147,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,현대1차,242,91,874,237,27.01,0,209,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,현대1차,230,108.61,874,517,27.01,0,184,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,현대1차,211,165.87,874,120,27.01,0,148,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,현대2차,234,105.78,340,240,26,0,199,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,현대2차,194,165.29,340,100,26,0,148,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,현대3차,243,76.03,374,36,26.01,0,200,4.99,2,36,0,62311,23066,10,0,132
