구시군,읍면동,아파트명,분양면적,단지세대수,개별세대수,평균매매가.제곱미터당.만원.,노후도,역세권점수,전세평균..당가.만원.,토지면적.km2.,문화시설수,쇼핑시설수,스타벅스,X3년.평균.인구수,X3년.평균.세대수,초중고현황,개발호재유무,혼인건수3년평균
계양구,효성동,현대3차,76.03,374,36,243,26.01,0,200,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,현대3차,109.09,374,266,234,26.01,0,183,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,현대3차,92.56,374,72,232,26.01,0,178,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,현대4차,76.03,919,375,270,23,0,227,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,현대4차,109.09,919,394,266,23,0,217,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,현대4차,109.09,919,25,252,23,0,206,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,현대4차,76.03,919,25,243,23,0,206,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,현대4차,175.2,919,100,200,23,0,137,4.99,2,36,0,62311,23066,10,0,132
계양구,계양동,박촌역한양수자인,80.09,376,85,309,7,3,234,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,박촌역한양수자인,113.69,376,133,286,7,3,194,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,박촌역한양수자인,114.01,376,103,285,7,3,193,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,박촌역한양수자인,159.95,376,55,259,7,3,156,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,아주,69.42,480,204,191,27.08,3,145,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,아주,79.33,480,36,189,27.08,3,140,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,아주,72.72,480,240,182,27.08,3,134,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,풍림아이원,82.33,207,16,310,13.01,3,267,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,풍림아이원,106.44,207,191,263,13.01,3,235,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,한화꿈에그린,82.64,670,140,321,13.01,3,284,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,한화꿈에그린,105.78,670,530,293,13.01,3,251,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,계양벽산블루밍,113.22,138,86,265,9.02,3,208,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,계양벽산블루밍,116.56,138,12,257,9.02,3,202,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,계양벽산블루밍,137.37,138,39,258,9.02,3,178,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,계양벽산블루밍,138.31,138,1,257,9.02,3,177,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,신동아,76.03,1192,536,260,21.09,3,217,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,신동아,105.78,1192,560,215,21.09,3,187,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,신동아,135.53,1192,96,199,21.09,3,155,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,동양우남푸르미아,109.74,158,74,305,7,3,241,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,동양우남푸르미아,110.3,158,42,304,7,3,240,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,동양우남푸르미아,110.36,158,42,304,7,3,240,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,동양지구휴먼빌,110.64,466,317,276,11.02,3,235,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,동양지구휴먼빌,142.86,466,149,252,11.02,3,206,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,한진해모로,78.99,478,478,348,12.05,3,269,30.45,4,63,0,88417,33845,13,0,132
계양구,작전서운동,경남아너스빌,130.93,255,180,309,11.03,0,225,3.79,4,23,0,33228,12215,5,0,132
계양구,작전서운동,경남아너스빌,162.91,255,75,292,11.03,0,206,3.79,4,23,0,33228,12215,5,0,132
계양구,작전서운동,임광그대家,112.62,355,92,329,9.02,0,258,3.79,4,23,0,33228,12215,5,0,132
계양구,작전서운동,임광그대家,112.79,355,45,328,9.02,0,257,3.79,4,23,0,33228,12215,5,0,132
계양구,작전서운동,임광그대家,112.79,355,26,328,9.02,0,257,3.79,4,23,0,33228,12215,5,0,132
계양구,작전서운동,임광그대家,144.84,355,97,283,9.02,0,221,3.79,4,23,0,33228,12215,5,0,132
계양구,작전서운동,임광그대家,144.86,355,95,283,9.02,0,221,3.79,4,23,0,33228,12215,5,0,132
계양구,계산동,계산주공,69.42,1140,270,299,27.08,2,246,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,계산주공,56.19,1140,270,289,27.08,2,246,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,계산주공,52.89,1140,1,288,27.08,2,246,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,계산주공,52.89,1140,60,288,27.08,2,245,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,계산주공,52.89,1140,299,288,27.08,2,236,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,계산주공,72.72,1140,180,285,27.08,2,234,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,계산주공,59.5,1140,60,273,27.08,2,227,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,극동,99.17,629,30,272,33.05,2,163,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,극동,62.81,629,240,247,33.05,2,146,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,극동,85.95,629,160,244,33.05,2,143,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,극동,69.42,629,139,241,33.05,2,133,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,극동,49.58,629,60,232,33.05,2,126,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,기산,92.56,142,66,221,22.05,2,175,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,기산,82.64,142,76,221,22.05,2,173,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,뉴서울,79.33,92,23,227,25,2,186,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,뉴서울,69.42,92,46,216,25,2,175,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,뉴서울,95.86,92,23,203,25,2,166,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,동남(55-1),56.19,336,84,213,28.05,2,160,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,동남(55-1),79.33,336,60,208,28.05,2,158,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,동남(55-1),72.72,336,48,203,28.05,2,151,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,동남(55-1),69.42,336,144,202,28.05,2,144,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,"삼보1,2차",72.72,474,36,220,31.02,2,120,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,"삼보1,2차",56.19,474,360,218,31.02,2,167,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,"삼보1,2차",62.81,474,72,215,31.02,2,160,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,삼보3차,56.19,366,60,214,30.01,2,158,4.55,5,91,1,84796,34699,17,0,132
