지 역,,,2016년 01월,,2016년 02월,,2016년 03월,,2016년 04월,,2016년 05월,,2016년 06월,,2016년 07월,,2016년 08월,,2016년 09월,,2016년 10월,,2016년 11월,,2016년 12월,,2017년 01월,,2017년 02월,,2017년 03월,,2017년 04월,,2017년 05월,,2017년 06월,,2017년 07월,,2017년 08월,,2017년 09월,,2017년 10월,,2017년 11월,,2017년 12월,,2018년 01월,,2018년 02월,,2018년 03월,,2018년 04월,,2018년 05월,,2018년 06월,,2018년 07월,,2018년 08월,,2018년 09월,,2018년 10월,,2018년 11월,,2018년 12월,
,,,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계
,,신흥동3가,0.023,0.023,0.014,0.036,0.024,0.06,-0.017,0.043,0.023,0.066,0.186,0.252,0.005,0.257,0.002,0.259,0.017,0.276,0.398,0.675,0.022,0.696,0.03,0.727,0.129,0.129,0.247,0.376,0.277,0.654,0.308,0.964,0.415,1.383,0.046,1.43,0.491,1.927,0.246,2.178,0.431,2.619,0.047,2.667,0.5,3.181,0.365,3.558,0.237,0.237,0.141,0.377,0.155,0.533,0.364,0.899,0.258,1.159,0.087,1.247,0.255,1.505,0.309,1.819,0.209,2.031,0.382,2.421,0.354,2.784,0.242,3.033
,,선화동,0.023,0.023,0.014,0.036,0.024,0.06,-0.017,0.043,0.023,0.066,0.186,0.252,0.005,0.257,0.002,0.259,0.017,0.276,0.398,0.675,0.022,0.696,0.03,0.727,0.129,0.129,0.247,0.376,0.277,0.654,0.308,0.964,0.415,1.383,0.046,1.43,0.491,1.927,0.246,2.178,0.431,2.619,0.047,2.667,0.5,3.181,0.365,3.558,0.237,0.237,0.141,0.377,0.155,0.533,0.364,0.899,0.258,1.159,0.087,1.247,0.255,1.505,0.309,1.819,0.209,2.031,0.382,2.421,0.354,2.784,0.242,3.033
,,유동,-0.131,-0.131,-0.086,-0.217,0.06,-0.157,0.036,-0.121,0.005,-0.116,-0.105,-0.221,0.005,-0.216,0.024,-0.192,-0.073,-0.266,0.131,-0.135,0.162,0.026,0.17,0.196,0.107,0.107,0.144,0.251,0.013,0.264,0.118,0.382,0.174,0.557,-0.074,0.482,0.114,0.597,0.042,0.639,0.296,0.936,0.178,1.116,0.119,1.237,0.201,1.441,0.157,0.157,0.157,0.315,0.197,0.513,0.179,0.693,0.204,0.899,0.265,1.166,0.296,1.465,0.478,1.951,0.212,2.167,0.358,2.533,0.107,2.642,0.395,3.048
,,율목동,-0.131,-0.131,-0.086,-0.217,0.06,-0.157,0.036,-0.121,0.005,-0.116,-0.105,-0.221,0.005,-0.216,0.024,-0.192,-0.073,-0.266,0.131,-0.135,0.162,0.026,0.17,0.196,0.107,0.107,0.144,0.251,0.013,0.264,0.118,0.382,0.174,0.557,-0.074,0.482,0.114,0.597,0.042,0.639,0.296,0.936,0.178,1.116,0.119,1.237,0.201,1.441,0.157,0.157,0.157,0.315,0.197,0.513,0.179,0.693,0.204,0.899,0.265,1.166,0.296,1.465,0.478,1.951,0.212,2.167,0.358,2.533,0.107,2.642,0.395,3.048
,,도원동,-0.003,-0.003,-0.06,-0.063,0.018,-0.045,-0.039,-0.084,0.091,0.007,0.017,0.024,-0.077,-0.053,0.04,-0.013,0.071,0.058,0.402,0.46,0.187,0.648,0.072,0.72,0.093,0.093,0.125,0.218,0.031,0.249,0.031,0.28,0.139,0.419,0.037,0.456,0.185,0.642,0.082,0.724,0.154,0.879,0.166,1.047,0.158,1.207,0.228,1.438,0.197,0.197,0.255,0.452,0.147,0.6,0.195,0.796,0.147,0.944,0.362,1.309,0.3,1.614,0.308,1.927,0.192,2.123,0.338,2.468,0.347,2.823,0.087,2.913
,,내동,-0.011,-0.011,-0.109,-0.12,-0.023,-0.143,-0.005,-0.147,0.057,-0.09,0.085,-0.005,-0.019,-0.024,0.04,0.016,0.003,0.019,0.019,0.038,0.092,0.13,0.118,0.248,0.111,0.111,0.1,0.211,0.162,0.374,0.215,0.589,0.219,0.81,0.162,0.974,0.137,1.113,0.137,1.252,0.223,1.477,0.16,1.64,0.077,1.718,0.341,2.065,0.169,0.169,0.331,0.501,0.197,0.699,0.179,0.879,0.375,1.258,0.272,1.533,0.149,1.684,0.266,1.954,0.23,2.189,0.328,2.525,0.325,2.859,0.237,3.102
,,경동,-0.011,-0.011,-0.109,-0.12,-0.023,-0.143,-0.005,-0.147,0.057,-0.09,0.085,-0.005,-0.019,-0.024,0.04,0.016,0.003,0.019,0.019,0.038,0.092,0.13,0.118,0.248,0.111,0.111,0.1,0.211,0.162,0.374,0.215,0.589,0.219,0.81,0.162,0.974,0.137,1.113,0.137,1.252,0.223,1.477,0.16,1.64,0.077,1.718,0.341,2.065,0.169,0.169,0.331,0.501,0.197,0.699,0.179,0.879,0.375,1.258,0.272,1.533,0.149,1.684,0.266,1.954,0.23,2.189,0.328,2.525,0.325,2.859,0.237,3.102
,,용동,-0.011,-0.011,-0.109,-0.12,-0.023,-0.143,-0.005,-0.147,0.057,-0.09,0.085,-0.005,-0.019,-0.024,0.04,0.016,0.003,0.019,0.019,0.038,0.092,0.13,0.118,0.248,0.111,0.111,0.1,0.211,0.162,0.374,0.215,0.589,0.219,0.81,0.162,0.974,0.137,1.113,0.137,1.252,0.223,1.477,0.16,1.64,0.077,1.718,0.341,2.065,0.169,0.169,0.331,0.501,0.197,0.699,0.179,0.879,0.375,1.258,0.272,1.533,0.149,1.684,0.266,1.954,0.23,2.189,0.328,2.525,0.325,2.859,0.237,3.102
,,인현동,0.057,0.057,-0.078,-0.021,0.033,0.012,0.045,0.057,0.027,0.084,-0.046,0.038,-0.017,0.021,0.035,0.056,-0.004,0.052,0.095,0.147,0.088,0.234,0.131,0.366,0.083,0.083,0.053,0.136,0.166,0.302,0.197,0.499,0.136,0.636,0.081,0.718,0.224,0.944,0.043,0.987,0.154,1.143,0.121,1.265,0.186,1.454,0.167,1.624,0.116,0.116,0.095,0.211,0.265,0.477,0.206,0.684,0.129,0.814,0.421,1.238,0.544,1.789,0.288,2.081,0.151,2.236,0.276,2.518,0.342,2.869,0.234,3.109
,,전동,0.057,0.057,-0.078,-0.021,0.033,0.012,0.045,0.057,0.027,0.084,-0.046,0.038,-0.017,0.021,0.035,0.056,-0.004,0.052,0.095,0.147,0.088,0.234,0.131,0.366,0.083,0.083,0.053,0.136,0.166,0.302,0.197,0.499,0.136,0.636,0.081,0.718,0.224,0.944,0.043,0.987,0.154,1.143,0.121,1.265,0.186,1.454,0.167,1.624,0.116,0.116,0.095,0.211,0.265,0.477,0.206,0.684,0.129,0.814,0.421,1.238,0.544,1.789,0.288,2.081,0.151,2.236,0.276,2.518,0.342,2.869,0.234,3.109
